                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                       1                                      407                  5.0000000000000000E-001                  2.0000000000000000E-002                  1.0000000000000001E-005                  1.0000000000000001E-005                  4.1266265492573975E+003                  5.8388727499292429E+001                  1.4970386254159530E+001                 -6.6913662840345003E+000                  6.9999999999999996E-001                  2.9797635251138533E-005                  2.7997020236474879E-001                  3.4416106108120289E-003                  1.0081585468366039E-003                  9.3393731282184877E-003                  1.9423584490357397E-003                  4.9999999999999517E-001                 -4.9167943479621141E-010                  3.4999999999999759E-001                  1.4898817625569156E-005                  1.3998510118237356E-001                  1.7208053054060036E-003                  5.0407927341829869E-004                  4.6696865641092135E-003                  9.7117922451786336E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9999915340612078E-001                  1.4873555737843706E+001                  4.9999885556343082E-001                  1.4846523775008935E+001                  8.2015904357829469E+005                  6.7136319863467788E+003                  8.5632967426127627E+007                  2.7200274632336759E-021                  2.7200274632336759E-021                  0.0000000000000000E+000                  1.0881925077450434E-022                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.1558149984000005E+002 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  4.9999999999999517E-001                  1.1752330058130607E+000                  3.6155951897925718E+000                 -7.9774278010353212E+000                  3.4425240616958965E+000                  6.9999999999999996E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                       2                  4.9999999999974515E-001                  1.1752330043705086E+000                  3.6155952607868844E+000                 -7.9774273043738857E+000                  3.4425246295748164E+000                  6.9999999999999996E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                       3                  4.9999999999918265E-001                  1.1752330011247705E+000                  3.6155953918534642E+000                 -7.9774263874625433E+000                  3.4425256779647477E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002 
                                       4                  4.9999999999824513E-001                  1.1752329957152190E+000                  3.6155955829926132E+000                 -7.9774250503050128E+000                  3.4425272068622719E+000                  6.9999999999999996E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                       5                  4.9999999999699518E-001                  1.1752329885025048E+000                  3.6155959106605713E+000                 -7.9774227580481538E+000                  3.4425298278171041E+000                  6.9999999999999996E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                       6                  4.9999999999449513E-001                  1.1752329740771519E+000                  3.6155966752230455E+000                 -7.9774174095133930E+000                  3.4425359433176834E+000                  6.9999999999999996E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                       7                  4.9999999998824518E-001                  1.1752329380142084E+000                  3.6155977674701982E+000                 -7.9774097689109675E+000                  3.4425446796006032E+000                  6.9999999999999996E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                       8                  4.9999999998199518E-001                  1.1752329019518897E+000                  3.6155994058618472E+000                 -7.9773983083532727E+000                  3.4425577836998347E+000                  6.9999999999999996E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                       9                  4.9999999996949512E-001                  1.1752328298291304E+000                  3.6156026827308829E+000                 -7.9773753884919767E+000                  3.4425839907295783E+000                  6.9999999999999996E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                      10                  4.9999999994449518E-001                  1.1752326855911130E+000                  3.6156075983009082E+000                 -7.9773410118787869E+000                  3.4426232983614602E+000                  6.9999999999999996E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                      11                  4.9999999991324517E-001                  1.1752325053076600E+000                  3.6156130604145873E+000                 -7.9773028201101077E+000                  3.4426669694082945E+000                  6.9999999999999996E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                      12                  4.9999999988199517E-001                  1.1752323250398369E+000                  3.6156212541079498E+000                 -7.9772455411007144E+000                  3.4427324678545141E+000                  6.9999999999999996E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                      13                  4.9999999981949517E-001                  1.1752319645510643E+000                  3.6156376436372484E+000                 -7.9771310144072061E+000                  3.4428634355545720E+000                  6.9999999999999996E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                      14                  4.9999999969449516E-001                  1.1752312437609291E+000                  3.6156704312635113E+000                 -7.9769020862355964E+000                  3.4431252542662065E+000                  6.9999999999999996E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                      15                  4.9999999944449514E-001                  1.1752298029295987E+000                  3.6157234004271088E+000                 -7.9765328015849084E+000                  3.4435476741640150E+000                  6.9999999999999984E-001                  2.7999999999999992E-001                  2.0000000000000240E-002 
                                      16                  4.9999999908899906E-001                  1.1752277558069097E+000                  3.6157856463484115E+000                 -7.9760997385227643E+000                  3.4440431780354133E+000                  6.9999999999999984E-001                  2.7999999999999992E-001                  2.0000000000000240E-002 
