HIP,RAhms,DEdms,Vmag,RA(ICRS),DE(ICRS),Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,e_RAdeg,B-V,e_B-V,V-I,e_V-I,SpT
99461,20 11 11.61,-36 05 50.6,5.32,302.79836763,-36.09738423,165.24,0.9,456.89,0.89,-1574.91,0.61,0.74,0.868,0.018,0.98,0.02,K2V         
15510,03 19 53.22,-43 04 17.6,4.26,49.97177014,-43.07154929,165.02,0.55,3038.08,0.51,726.34,0.52,0.44,0.711,0.005,0.79,0.02,G8V         
99240,20 08 41.86,-66 10 45.6,3.55,302.17441713,-66.17932101,163.73,0.65,1210.29,0.55,-1130.34,0.47,0.49,0.751,0.021,0.76,0.02,G5IV-Vvar   
71253,14 34 17.02,-12 31 15.6,11.32,218.57093205,-12.52100145,163.51,2.77,-357.5,2.74,595.12,2.07,2.53,1.633,0.052,2.87,0.05,M4          
86961,17 46 12.66,-32 06 10.0,10.49,266.55276344,-32.10277328,161.77,11.29,-49.82,92.85,-319.82,47.25,89.41,1.463,0.015,1.86,0.07,M2V:        
86963,17 46 14.47,-32 06 06.0,11.39,266.56028243,-32.10165681,161.77,11.29,-77.62,13.61,-270.12,7.75,12.33,1.439,0.007,1.77,0.02,M2V:        
45343,09 14 24.27,+52 41 16.8,7.64,138.60112218,52.6879927,161.59,5.23,-1533.58,6.79,-562.8,3.98,5.39,1.41,0.01,1.7,0.03,M0V         
99701,20 13 52.75,-45 09 49.1,7.97,303.46980202,-45.16363153,161.17,1.08,778.18,1.34,-159.55,1.07,0.95,1.431,0.006,1.83,0,M0V         
116132,23 31 51.83,+19 56 14.7,10.05,352.9659791,19.93741103,160.06,2.81,554.4,2.03,-62.61,1.6,2.52,1.19,0.51,2.19,0.08,M6Ve        
74995,15 19 27.55,-07 43 19.3,10.57,229.86477439,-7.72203834,159.52,2.27,-1224.55,3.07,-99.52,1.79,1.99,1.6,0.007,2.53,0.02,M5          
120005,09 14 26.19,+52 41 16.7,7.7,138.60913008,52.68797118,159.48,6.61,-1551.3,15.57,-656.25,8.78,20.29,1.42,0.01,1.72,0.03,K2          
84140,17 12 07.62,+45 40 11.4,9.31,258.03174636,45.66984247,158.17,3.26,325.96,6.83,-1591.73,5.12,5.13,1.485,0.028,1.98,0.16,K5          
34603,07 10 02.16,+38 31 54.4,11.65,107.50900471,38.53176545,157.24,3.32,-439.68,5.33,-948.36,2.78,3.1,1.7,0.51,3.4,0.98,M5Ve        
82809,16 55 25.70,-08 19 13.4,11.73,253.85710273,-8.32039997,153.96,4.04,-813.47,4.41,-895.23,2.5,3.65,1.7,0.006,2.75,0.02,M4          
114622,23 13 14.74,+57 10 03.5,5.57,348.31143134,57.16763844,153.24,0.65,2074.37,0.69,294.97,0.53,0.48,1,0,1.04,0,K3Vvar      
80459,16 25 24.19,+54 18 16.3,10.13,246.35079602,54.30451781,151.93,1.11,432.29,1.32,-170.71,1.21,1.02,1.591,0.027,2.58,0.06,M2          
53767,11 00 04.53,+22 50 01.1,10.03,165.01886286,22.83364286,150.96,1.59,-426.31,1.69,-279.94,1.04,1.51,1.525,0.017,2.26,0.12,M3          
72659,14 51 23.28,+19 06 02.3,4.54,222.84701756,19.10063329,149.26,0.76,152.81,0.64,-71.28,0.7,0.7,0.72,0.015,0.82,0.03,G8V + K4V   
106106,21 29 36.20,+17 38 32.6,10.33,322.40081536,17.642376,148.29,1.85,1008.09,2.9,376.21,1.13,1.97,1.62,0.007,2.65,0.02,M4          
113296,22 56 35.43,+16 33 14.8,8.68,344.14764241,16.55412209,145.27,1.22,-1033.21,1.08,-283.33,1.42,1.01,1.507,0.015,2.1,0,M2:         
84709,17 18 56.36,-34 59 22.5,5.91,259.73483426,-34.98957161,143.45,17.12,1149.24,16.77,-90.8,9.19,15.35,1.082,0.027,1.21,0.02,K4V         
103096,20 53 19.79,+62 09 22.6,8.55,313.33245263,62.15627228,141.95,0.77,1.08,0.67,-774.24,0.76,0.7,1.483,0.012,1.97,0.07,M2V         
12114,02 36 03.83,+06 53 00.1,5.79,39.01596864,6.88336423,138.72,1.04,1806.27,2.09,1442.5,0.97,1.02,0.918,0.019,1.06,0.02,K3V         
51317,10 28 55.90,+00 50 34.0,9.65,157.23292924,0.84277841,138.29,2.13,-602.32,1.91,-731.87,2.1,2.01,1.507,0.014,2.26,0.01,M2          
83945,17 09 31.27,+43 40 55.3,11.77,257.38030802,43.68202643,137.84,8.95,333.92,8.06,-278.02,10.28,7.54,1.696,0.02,2.86,0.06,M3          
