HIP,RAhms,DEdms,Vmag,RA(ICRS),DE(ICRS),Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,e_RAdeg,B-V,e_B-V,V-I,e_V-I,SpT
1599,00 20 01.91,-64 52 39.4,4.23,5.00797581,-64.8776232,116.38,0.64,1707.56,0.52,1165.36,0.58,0.46,0.576,0.01,0.65,0.02,F9V         
113229,22 55 47.90,-75 27 21.9,10.42,343.94957092,-75.45609056,116.02,1.33,-1027.28,1.5,-1061.6,1.04,1.18,1.485,0.015,2.43,0.02,K           
93873,19 07 05.86,+20 53 20.0,10.77,286.77443107,20.88888827,115.91,2.47,-480.82,1.65,-345.6,2.51,1.37,1.57,0.015,2.52,0.06,M2          
111802,22 38 45.29,-20 37 15.4,9.06,339.68872796,-20.62094006,115.71,1.5,450.58,1.61,-79.86,1.15,1.21,1.466,0.005,2.21,0.02,M0Vpe       
27913,05 54 23.08,+20 16 35.1,4.39,88.59618305,20.27641498,115.43,1.08,-163.17,1.06,-98.92,0.6,1.04,0.594,0.008,0.66,0.02,G0V         
25578,05 28 00.27,+09 38 44.8,12.48,82.00110606,9.64577431,115.04,5.22,-194.06,4.8,-759.52,2.74,4.91,1.653,0.01,2.69,0.02,M5          
32984,06 52 18.37,-05 10 25.3,6.58,103.07653738,-5.17370508,114.94,0.86,-544.41,0.79,-3.3,0.61,0.72,1.071,0.008,1.04,0.01,K3V         
109388,22 09 39.68,-04 38 26.5,10.41,332.41534076,-4.64068104,113.97,2.1,1134.9,2.75,-19.71,1.31,2.06,1.531,0.035,2.5,0,M3          
84720,17 19 02.95,-46 38 11.4,5.47,259.76230946,-46.6365001,113.81,1.36,1035.25,1.38,109.22,0.65,1.53,0.764,0.4,0.94,0.02,M0V         
23311,05 00 48.68,-05 45 03.5,6.22,75.20282168,-5.75097923,113.46,0.82,550.74,1,-1109.3,0.68,0.73,1.049,0.011,1.1,0.02,K3V         
99825,20 15 16.58,-27 01 57.1,5.73,303.8190747,-27.03253576,113.33,0.89,1241.35,0.92,-181.46,0.6,0.78,0.878,0.018,0.93,0.02,K3V         
