                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    6050                                     1326                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.2296865205338539E+010                  5.1585696270711849E-002                  3.0325787975229714E+003                  2.2661461848588410E+003                  1.7269454080623112E+002                  1.9589086640231958E+001                  0.0000000000000000E+000                  1.6299170386766611E-054                  9.8008980705300908E-001                  7.7957263966008596E-005                  9.7020339807586467E-003                  3.9188688191971717E-003                  1.9423584493934865E-003                  6.4616319596776728E-001                 -1.6961106866381795E-007                  1.2613208413234925E-001                  2.4931478480822204E-004                  4.9920010042906038E-001                  8.0056238863270759E-003                  4.1057437595267022E-003                  2.5395207154560702E-003                  1.2550805405348285E-003                  4.6005971293369424E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4452241848251601E-001                  1.6596457894820659E+002                  6.4400626808561157E-001                  1.6406429947954402E+002                  2.8267042764555052E+007                  2.5043639523517843E+001                  2.8513747272134474E+006                  4.9585139503462994E+006                  4.7031985338310623E-003                  3.7710285341780423E+006                  9.9006468744291997E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.8806631648310458E+017 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  6.4616319596776728E-001                  2.2372786089328129E+000                  3.4818120942617825E+000                 -8.6139418939291037E+000                  2.6582542763345667E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                       2                  6.4616319596744420E-001                  2.2372786089275545E+000                  3.4818120943197695E+000                 -8.6139418935297751E+000                  2.6582542767983517E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                       3                  6.4616319596627303E-001                  2.2372786089084902E+000                  3.4818120945495612E+000                 -8.6139418919472988E+000                  2.6582542786362544E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                       4                  6.4616319596152272E-001                  2.2372786088311711E+000                  3.4818120953339422E+000                 -8.6139418865456019E+000                  2.6582542849098303E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                       5                  6.4616319594606053E-001                  2.2372786085794942E+000                  3.4818120975227402E+000                 -8.6139418714722815E+000                  2.6582543024161147E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                       6                  6.4616319590511984E-001                  2.2372786079131131E+000                  3.4818121030577793E+000                 -8.6139418333548257E+000                  2.6582543466860544E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                       7                  6.4616319580342851E-001                  2.2372786062579060E+000                  3.4818121130519053E+000                 -8.6139417645295548E+000                  2.6582544266203141E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                       8                  6.4616319564758218E-001                  2.2372786037212280E+000                  3.4818121289425079E+000                 -8.6139416550977774E+000                  2.6582545537153215E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                       9                  6.4616319539394507E-001                  2.2372785995928322E+000                  3.4818121556929378E+000                 -8.6139414708790660E+000                  2.6582547676685251E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                      10                  6.4616319495825258E-001                  2.2372785925011649E+000                  3.4818122034166863E+000                 -8.6139411422262739E+000                  2.6582551493687365E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                      11                  6.4616319416415546E-001                  2.2372785795758365E+000                  3.4818122937920708E+000                 -8.6139405198506598E+000                  2.6582558722012619E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                      12                  6.4616319262937549E-001                  2.2372785545946221E+000                  3.4818124710435527E+000                 -8.6139392991994672E+000                  2.6582572898765910E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                      13                  6.4616318959657060E-001                  2.2372785052305679E+000                  3.4818128149448460E+000                 -8.6139369309134413E+000                  2.6582600404264203E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                      14                  6.4616318376738557E-001                  2.2372784103511489E+000                  3.4818134511441339E+000                 -8.6139325497344945E+000                  2.6582651287726793E+000                  6.7817444656403036E-001                  3.0174871039662998E-001                  2.0076843039339654E-002 
                                      15                  6.4616317320230610E-001                  2.2372782383889609E+000                  3.4818145609422189E+000                 -8.6139249072015556E+000                  2.6582740048997864E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                      16                  6.4616315516876444E-001                  2.2372779448712730E+000                  3.4818164109706342E+000                 -8.6139121673546839E+000                  2.6582888011372732E+000                  6.7817444656403036E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                      17                  6.4616312552809130E-001                  2.2372774624463490E+000                  3.4818194406303147E+000                 -8.6138913048136700E+000                  2.6583130312682952E+000                  6.7817444656403025E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                      18                  6.4616307709490972E-001                  2.2372766741931955E+000                  3.4818244573274137E+000                 -8.6138567609753682E+000                  2.6583531513305001E+000                  6.7817444656403025E-001                  3.0174871039663004E-001                  2.0076843039339654E-002 
                                      19                  6.4616299624536200E-001                  2.2372753584566860E+000                  3.4818329999989803E+000                 -8.6137979428147524E+000                  2.6584214648399360E+000                  6.7817444656403059E-001                  3.0174871039662998E-001                  2.0076843039339431E-002 
                                      20                  6.4616285693688547E-001                  2.2372730916450720E+000                  3.4818479212524998E+000                 -8.6136952210834767E+000                  2.6585407715031639E+000                  6.7817444656403081E-001                  3.0174871039662976E-001                  2.0076843039339431E-002 
                                      21                  6.4616261167354039E-001                  2.2372691016055528E+000                  3.4818743232816365E+000                 -8.6135135075348543E+000                  2.6587518297841553E+000                  6.7817444656403014E-001                  3.0174871039663026E-001                  2.0076843039339654E-002 
