   spec_id                                kic             teff          err_teff           logg          err_logg        feh            err_feh           afe            err_afe       ch              err_ch         nh             err_nh         dnu             err_dnu       numax         err_numax      mass          err_mass         age                       err_age
 20140913-KP193637N444141V02-11-129       10016093      4576.5976563    125.8943558        2.3971901      0.1234400     -0.4493932      0.0676981        0.2383990      0.0372781     -0.3200220      0.0757932     -0.4103350      0.0898385      3.7930300      0.0141200     31.0836201      0.4360400      0.9950593      0.0977514      11.5038000000000000       3.6441699999999999  

 20151002-KP192314N471144V02-06-067       10017956      4571.5996094    130.2469330        2.5827999      0.1206510     -0.2214164      0.0663663        0.0850881      0.0369999     -0.2025410      0.0751347     -0.1649260      0.0891763      4.2859302      0.0133400     37.3290596      0.5200200      1.0687389      0.1036440      10.7014000000000000       3.8824200000000002  

 20151002-KP192314N471144V03-06-067       10018076      4535.7465820    168.9797211        2.3339000      0.1692210     -0.4305933      0.0972514        0.1722810      0.0505425     -0.2975800      0.1084930     -0.3779390      0.1157000      4.8196902      0.0184000     43.8302307      0.5015900      1.0666536      0.1125161      10.5541000000000000       3.6093899999999999  

 20140913-KP193637N444141V02-11-212       10018357      4972.0102539    145.8772888        2.9900899      0.1331210     -0.6304185      0.0767795        0.2467660      0.0400744     -0.5190280      0.0832951     -0.8453970      0.0984833     13.4936304      0.0151900    155.8982239      0.9040400      0.9704306      0.0639602      10.3417999999999990       2.4731200000000002  

 20151001-KP194045N483045V04-01-071       10018442      4732.5205078     86.9751282        2.8600299      0.0660281      0.0646793      0.0539560       -0.0125242      0.0290485     -0.0869322      0.0565163      0.2412770      0.0715828      6.6190500      0.0141700     75.1512299      0.8586800      1.6878809      0.1188412       2.4255800000000001       0.6325950000000000  

 20151001-KP194045N483045V04-01-055       10018811      4830.5527344     78.8709412        2.8492501      0.0795261     -0.2323186      0.0571997        0.0393879      0.0300502     -0.2829150      0.0604212     -0.1843760      0.0755162      7.3038602      0.0195200     77.0360489      0.6043600      1.2559978      0.0737484       4.9255899999999997       0.9529280000000000  

 20150921-KP193637N444141V03-11-214       10018832      4563.0722656    155.8291473        2.5336299      0.1476380     -0.0824023      0.0876289        0.1861560      0.0454648     -0.0136067      0.0964371      0.0711067      0.1088320      5.6490402      0.0131700     53.8953018      0.5002000      1.0599190      0.0936899      11.1922999999999990       3.4630000000000001  

          20150602-NGC6811_1-15-176       10018923      4462.5732422    114.8811569        2.4253700      0.0792097      0.3407750      0.0561231        0.0392996      0.0293797      0.2985300      0.0599810      0.6552290      0.0754169      4.3286200      0.0131000     40.9226913      0.4472700      1.3266828      0.1107903       5.5469900000000001       1.9836300000000000  

          20150602-NGC6811_1-09-056       10023322      4317.8530273    166.8391571        2.4110501      0.1344960      0.0393623      0.0810588        0.0373399      0.0417073     -0.0924246      0.0878475      0.2891910      0.1039520      3.1774001      0.0138600     27.0390396      0.4575600      1.2389016      0.1563170       7.9374399999999996       3.6477400000000002  

 20130522-KP194045N483045V01-07-105       10023439      4599.2304688    113.2111282        2.8611801      0.1058850      0.0271961      0.0617972        0.0772190      0.0335620      0.0483438      0.0689167      0.2245260      0.0869453      6.4367099      0.0176000     65.2527695      0.5464200      1.1533360      0.0841726       8.5283999999999995       2.7023700000000002  

 20151001-KP194045N483045V04-07-101       10023911      4795.7875977     93.4081268        2.7530000      0.1087670     -0.3113423      0.0621420        0.1964330      0.0346836     -0.1924980      0.0707595     -0.2974720      0.0870968      8.0520802      0.0150500     82.6182175      0.5286600      1.0404990      0.0581519       9.4971099999999993       2.0274999999999999  

 20151001-KP194045N483045V03-07-122       10024460      4486.8652344    134.2562866        2.3362100      0.1052660     -0.2474419      0.0617232        0.2335660      0.0333213     -0.1298560      0.0685212     -0.1447480      0.0869128      4.1488900      0.0120600     35.6730614      0.4012300      1.0284787      0.0928228      11.7866000000000000       3.4816900000000000  

 20151001-KP194045N483045V03-07-121       10024883      4637.4194336    115.5236740        2.2688301      0.1234410     -0.4019965      0.0676987        0.1283180      0.0372783     -0.3183900      0.0757935     -0.2863560      0.0898388      3.2673299      0.0130800     26.2577000      0.5103300      1.1304265      0.1262530       8.0403800000000007       3.1537500000000001  

 20151003-KP195920N454621V04-16-006       10024931      4774.8378906    117.6349258        2.6348701      0.1337280     -0.2041555      0.0786685        0.0408509      0.0407952     -0.3319550      0.0853047     -0.1141070      0.1008970      5.0627899      0.0152700     48.0312004      0.3670000      1.2797073      0.0920644       4.6776700000000000       1.3465499999999999  

